                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.88095,                 0.9795,                 1.3622,                 0.6985,                0.70161,                0.75979,                0.58199,                0.80607,                0.96446,                 1.2825,               0.001082,               0.001082,               0.001082
                     53,                0.89127,                0.96882,                 1.3719,                0.70172,                0.71659,                0.77539,                0.59459,                0.80977,                0.92305,                 1.2924,               0.001064,               0.001064,               0.001064
                     54,                0.88263,                0.95411,                   1.36,                0.71312,                0.69017,                 0.7683,                0.58604,                0.81729,                0.93399,                 1.2922,               0.001046,               0.001046,               0.001046
                     55,                 0.8838,                0.96211,                 1.3683,                0.70917,                0.69249,                 0.7707,                0.59113,                0.80602,                0.94527,                 1.2855,               0.001028,               0.001028,               0.001028
                     56,                0.87071,                0.94475,                 1.3547,                0.69245,                 0.7237,                0.76593,                0.58899,                0.79727,                0.95086,                 1.2788,                0.00101,                0.00101,                0.00101
                     57,                0.87116,                0.94964,                 1.3506,                 0.6959,                0.70522,                0.76718,                0.58588,                0.79934,                 0.9264,                 1.2851,               0.000992,               0.000992,               0.000992
                     58,                0.87041,                0.94743,                 1.3486,                0.70886,                0.71889,                0.77248,                0.59319,                0.78934,                0.91357,                 1.2686,               0.000974,               0.000974,               0.000974
                     59,                0.86739,                0.93863,                 1.3497,                0.68323,                0.71717,                0.76577,                0.58775,                0.79894,                0.93604,                 1.2866,               0.000956,               0.000956,               0.000956
                     60,                0.84936,                0.93278,                 1.3341,                 0.7126,                 0.7184,                0.77357,                0.59491,                 0.8159,                0.89978,                 1.2905,               0.000938,               0.000938,               0.000938
                     61,                0.85899,                0.92278,                 1.3364,                0.69325,                0.72581,                0.77363,                0.59413,                0.80653,                0.91373,                 1.2767,                0.00092,                0.00092,                0.00092
                     62,                0.85967,                0.93136,                 1.3388,                0.70895,                0.70578,                0.76979,                0.58942,                0.78717,                 0.9194,                 1.2675,               0.000902,               0.000902,               0.000902
                     63,                0.84566,                0.92275,                 1.3249,                0.67318,                0.74021,                0.77461,                0.59479,                  0.778,                0.92771,                 1.2631,               0.000884,               0.000884,               0.000884
                     64,                 0.8488,                0.91109,                 1.3287,                0.70075,                0.72638,                0.77237,                0.59847,                0.77827,                0.90593,                 1.2594,               0.000866,               0.000866,               0.000866
                     65,                0.84354,                0.92862,                 1.3283,                0.69196,                0.73329,                0.77609,                0.60331,                0.78319,                0.89667,                 1.2534,               0.000848,               0.000848,               0.000848
                     66,                0.83981,                0.90609,                 1.3277,                0.71154,                0.72005,                  0.778,                0.60452,                0.79385,                0.88655,                 1.2756,                0.00083,                0.00083,                0.00083
                     67,                0.84834,                0.90423,                 1.3283,                0.71299,                0.71406,                 0.7731,                0.59415,                0.80128,                0.91416,                 1.2692,               0.000812,               0.000812,               0.000812
                     68,                0.83426,                0.89452,                 1.3126,                0.69062,                 0.7381,                0.77374,                0.59957,                0.78525,                0.89392,                 1.2602,               0.000794,               0.000794,               0.000794
                     69,                0.83571,                0.89768,                 1.3122,                0.68353,                0.73733,                0.77238,                0.60065,                0.77832,                0.89032,                 1.2597,               0.000776,               0.000776,               0.000776
                     70,                0.83182,                0.90124,                 1.3158,                0.71499,                0.72255,                0.78056,                0.60524,                0.80193,                0.87989,                 1.2626,               0.000758,               0.000758,               0.000758
