                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.89679,                0.87131,                 1.2847,                0.70017,                0.67627,                0.74082,                0.56776,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     84,                0.89758,                0.86929,                 1.2828,                 0.7067,                0.68564,                0.74488,                0.56678,                    nan,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                     85,                0.89339,                0.87334,                 1.2793,                0.72084,                0.66786,                0.74701,                 0.5708,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.8824,                0.86474,                 1.2768,                0.72053,                0.66534,                0.74663,                0.57089,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     87,                 0.8927,                0.87094,                 1.2792,                0.72062,                0.67339,                0.75039,                0.57247,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88332,                0.85411,                 1.2744,                 0.7014,                0.68872,                0.74526,                0.57056,                    nan,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     89,                0.87909,                0.86258,                 1.2736,                0.69913,                0.70273,                0.74947,                0.57303,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88318,                0.85591,                 1.2758,                0.70248,                0.69182,                0.75138,                0.57481,                    nan,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79699,                 0.7855,                 1.2184,                0.73199,                0.67023,                0.74591,                0.57116,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     92,                0.79085,                0.77059,                 1.2114,                0.71816,                0.67972,                0.74504,                0.57171,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.7824,                0.75207,                 1.2059,                0.72527,                0.67365,                0.74512,                0.57472,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     94,                0.78164,                0.74565,                 1.2069,                0.73287,                0.66302,                0.74944,                0.57628,                    nan,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.7751,                0.73835,                 1.2008,                0.72114,                0.69118,                0.75235,                0.58063,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     96,                0.77102,                0.73666,                 1.2005,                0.71252,                0.69387,                0.74783,                0.57562,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     97,                0.76534,                0.72812,                 1.1971,                0.72159,                0.67483,                0.74553,                0.57345,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76893,                0.72576,                 1.1932,                0.71267,                0.68866,                0.74611,                0.57513,                    nan,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.76201,                0.72066,                 1.1905,                0.71817,                0.68697,                0.74956,                0.57634,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.76647,                0.72547,                  1.197,                0.71545,                0.68952,                0.74972,                 0.5778,                    nan,                    nan,                    nan,               3.98e-05,               3.98e-05,               3.98e-05
